"AccountType","Owner","Repo","CommitCount","LocTotal","FirstCommit","LastCommit","HasTests","HasCI","HasDocs","ProofScore","ValueMid"
"Personal","Allen-Bradley","AddonDes002","7","3808","2024/07/24 08:12:02","2024/08/02 09:18:18","False","False","False","30","51900"
"Personal","Allen-Bradley","ControlLogixTree","78","960",,"2022/08/01 15:48:48","False","False","False","26","12600"
"Personal","Allen-Bradley","DraftSightUtil","13","4416","2021/06/17 11:32:27","2023/07/24 10:44:36","False","False","False","33","61425"
"Personal","Allen-Bradley","EchoNet","247","4799",,"2023/11/09 07:29:05","False","False","False","36","68550"
"Personal","Allen-Bradley","EchoNetPortsClient","31","1951","2023/05/09 13:08:53","2023/08/02 14:50:03","False","False","True","49","30525"
"Personal","Allen-Bradley","EchoNetPortService","27","324","2023/05/09 12:22:57","2023/08/02 14:38:14","False","False","False","33","4200"
"Personal","Allen-Bradley","EchoPortClient","3","501","2023/05/09 09:16:52","2023/05/09 11:16:13","False","False","False","24","6525"
"Personal","Allen-Bradley","libplctag.NET","5","4494","2022/08/01 10:35:46","2022/08/01 15:45:19","False","False","False","31","61875"
"Personal","Allen-Bradley","LibplctagClient","8","674","2023/06/01 15:43:22","2023/06/07 13:44:38","False","False","False","31","8925"
"Personal","Allen-Bradley","LogixCodeGenerator","26","1431282","2023/04/04 11:30:18","2023/04/17 14:40:06","False","False","False","40","882000"
"Personal","Allen-Bradley","MonoRailLogicBlock","4","1148","2022/07/01 13:03:46","2022/07/04 15:27:43","False","False","False","26","15225"
"Personal","Allen-Bradley","PortProxyBridge","15","432","2023/05/09 10:06:49","2023/08/01 13:53:11","False","False","False","30","6150"
"Personal","Allen-Bradley","RSLogix5000Lib","2","1463","2021/07/15 08:17:10","2021/07/15 08:17:12","False","False","False","27","19350"
"Personal","DesignEngineeringTool","AutoFactoryScope","47","4311","2025/11/12 09:04:45","2025/11/19 10:41:53","True","True","True","66","74925"
"Personal","DesignEngineeringTool","CadFileConverter","10","384","2023/01/30 11:40:32","2023/01/31 07:54:05","True","False","False","39","5850"
"Personal","DesignEngineeringTool","CatiaDrawingExporter","5","1296","2022/11/29 11:17:59","2022/11/29 15:49:08","False","False","False","27","17325"
"Personal","DesignEngineeringTool","DataTransferRequestManufacture","4","1131","2023/01/17 14:15:26","2023/01/23 10:27:59","False","False","False","26","15225"
"Personal","DesignEngineeringTool","DesignGroupAccelerator","100","128925",,"2023/07/26 12:02:51","False","False","False","49","938700"
"Personal","DesignEngineeringTool","DraftSightTestData","6","611","2024/07/02 12:27:45","2024/07/03 10:12:52","False","False","False","25","7875"
"Personal","DesignEngineeringTool","FmStueliBackdoor","2","13473","2023/02/03 08:45:36","2023/02/03 11:43:13","False","False","True","46","206175"
"Personal","DesignEngineeringTool","HubstaffTaskManager","4","903","2024/07/05 12:43:09","2024/07/08 12:03:17","False","False","False","27","12000"
"Personal","DesignEngineeringTool","ImportCatiaData","2","294","2023/01/30 08:26:28","2023/01/30 08:26:30","False","False","False","23","3900"
"Personal","DesignEngineeringTool","LabelMaker","16","1641","2024/07/23 16:18:18","2024/09/19 16:13:44","False","False","False","27","21975"
"Personal","DesignEngineeringTool","NxAutomatedDrafting","8","386","2023/03/15 12:18:30","2023/03/15 14:30:25","False","False","False","24","5175"
"Personal","DesignEngineeringTool","NxJournals","7","500","2023/04/21 11:11:59","2023/04/25 12:20:15","False","False","False","24","6525"
"Personal","DesignEngineeringTool","PipeWeaver","230","4922",,"2024/12/05 15:33:49","False","False","True","54","79200"
"Personal","GeorgeMcIntyre-Web","AssetLens","2","7420","2025/12/12 03:47:11","2025/12/14 07:01:48","True","True","True","67","129750"
"Personal","GeorgeMcIntyre-Web","aurora_invest_app","122","38092","2025/12/03 11:31:20","2025/12/11 16:53:52","True","True","True","72","688050"
"Personal","GeorgeMcIntyre-Web","CascadedPointCloudFit","64","14841","2025/11/27 06:42:03","2025/11/28 14:32:38","True","True","True","70","265050"
"Personal","GeorgeMcIntyre-Web","ClerkAuth","40","21598","2025/09/01 07:09:53","2025/09/02 06:25:13","False","False","True","45","328875"
"Personal","GeorgeMcIntyre-Web","fire-protection","60","31734","2025/10/25 15:02:43","2025/11/15 08:55:07","True","True","True","72","573375"
"Personal","GeorgeMcIntyre-Web","fittingflow","2","12993","2025/12/22 02:44:55","2025/12/22 08:51:25","True","False","True","59","217050"
"Personal","GeorgeMcIntyre-Web","IronMind","3","803","2026/01/21 09:53:28","2026/01/21 12:20:28","True","True","True","60","13425"
"Personal","GeorgeMcIntyre-Web","kinetiCORE","1260","288977",,"2025/12/01 14:35:40","True","True","True","78","1121400"
"Personal","GeorgeMcIntyre-Web","MedAtlas","7","6134","2026/01/16 05:33:34","2026/01/16 13:21:53","True","False","True","57","101400"
"Personal","GeorgeMcIntyre-Web","myportfolio","1","0","2025/11/28 23:27:27","2025/11/28 23:27:27","False","False","True","18","0"
"Personal","GeorgeMcIntyre-Web","NitroAGI","25","24227","2025/08/25 08:38:07","2025/08/25 15:46:28","True","False","True","61","409950"
"Personal","GeorgeMcIntyre-Web","out-of-this-world","12","12814","2025/12/22 07:17:50","2026/01/09 19:26:48","True","True","True","73","232500"
"Personal","GeorgeMcIntyre-Web","outofthisworld","2","274","2025/12/22 07:33:44","2025/12/22 08:52:58","False","False","True","34","3525"
"Personal","GeorgeMcIntyre-Web","portfolio","5","306","2025/09/17 11:36:57","2025/09/17 12:18:56","False","False","True","33","4200"
"Personal","GeorgeMcIntyre-Web","rugby-vision","10","5023","2025/12/03 10:44:03","2025/12/03 12:25:05","False","True","True","51","79275"
"Personal","GeorgeMcIntyre-Web","SimPilot","548","210719",,"2026/01/30 13:19:28","True","True","True","82","1146600"
"Personal","GeorgeMcIntyre-Web","SimTreeNav","133","22811","2026/01/13 14:51:10","2026/01/29 13:02:02","True","True","True","72","411750"
"Personal","GeorgeMcIntyre-Web","SimuPro-Industrial-Suite","11","26533","2025/08/21 04:42:08","2025/12/01 02:42:36","False","False","True","46","407025"
"Personal","GeorgeMcIntyre-Web","TensorField-Studio","4","1682","2025/11/24 14:18:49","2025/11/24 15:14:44","True","False","True","53","27300"
"Personal","GeorgeMcIntyre-Web","urbane-jungle","37","22184","2025/06/25 12:24:27","2025/11/23 05:45:39","False","False","True","46","340350"
"Personal","GeorgeMcIntyre","BabylonHavok","10","5052","2024/09/05 11:15:59","2024/09/09 16:33:44","False","False","False","35","71550"
"Personal","GeorgeMcIntyre","desktop-tutorial","1","0","2025/05/06 15:53:24","2025/05/06 15:53:24","False","False","True","18","0"
"Personal","GeorgeMcIntyre","GeorgeMcIntyre","0","0",,,"False","False","False","4","0"
"Personal","GeorgeMcIntyre","House-Atreides-Tournament-Manager-Phone","2","2720","2025/05/14 14:22:06","2025/05/14 14:25:30","False","False","False","29","36600"
"Personal","GeorgeMcIntyre","NexaSequence","6","882","2023/09/28 14:25:37","2023/09/29 11:43:35","False","False","False","26","11925"
"Personal","GeorgeMcIntyre","SageOnePaymentReminder","2","415","2025/04/07 10:51:55","2025/04/07 10:51:57","False","False","False","24","5175"
"Personal","Process-Simulation",".github","1","0","2023/10/19 13:22:26","2023/10/19 13:22:26","False","False","True","18","0"
"Personal","Process-Simulation","ABB-Downloader","2","594","2021/07/15 06:11:02","2021/07/15 06:11:05","False","False","False","25","7875"
"Personal","Process-Simulation","AutoFactoryScope","13","16616","2025/11/21 08:35:11","2026/01/20 12:04:42","True","True","True","73","301575"
"Personal","Process-Simulation","BMWButtons","8","29434","2021/07/15 06:13:28","2022/10/10 08:33:36","False","False","False","42","439125"
"Personal","Process-Simulation","ControlLogixCreator","26","10312","2021/10/07 08:17:26","2022/09/26 11:35:50","False","False","False","36","147075"
"Personal","Process-Simulation","CoreCubicS","386","264687",,"2025/06/17 14:32:47","False","False","True","60","1008000"
"Personal","Process-Simulation","CreateRoboticXml","2","595","2021/09/21 14:15:24","2021/09/21 14:15:26","False","False","False","25","7875"
"Personal","Process-Simulation","CustomABB","4","3453","2018/09/04 11:12:11","2021/07/15 07:10:01","False","False","False","32","47850"
"Personal","Process-Simulation","CustomFanuc","14","11348","2021/04/28 17:09:00","2022/10/06 16:25:22","False","False","False","38","164475"
"Personal","Process-Simulation","CustomFanucExtra","3","379","2021/11/17 09:24:59","2021/11/18 14:51:47","False","False","False","23","5175"
"Personal","Process-Simulation","CustomFord","2","1060","2021/07/15 07:17:27","2021/07/15 07:17:29","False","False","False","26","13875"
"Personal","Process-Simulation","CustomGeneralCls","169","32395",,"2024/01/25 16:28:46","False","False","False","49","506925"
"Personal","Process-Simulation","CustomGraphicViewerCls","2","2645","2021/07/15 07:22:00","2021/07/15 07:22:02","False","False","False","30","36150"
"Personal","Process-Simulation","CustomKawasaki","15","29108","2019/11/21 15:49:07","2023/04/19 08:47:09","False","False","False","45","443025"
"Personal","Process-Simulation","CustomKawasakiCalibrate","2","21885","2021/07/15 07:28:48","2021/07/15 07:28:50","False","False","False","34","308100"
"Personal","Process-Simulation","CustomKawasaki_2020","26","25563","2021/07/07 10:12:12","2023/06/01 07:23:25","False","False","False","38","370200"
"Personal","Process-Simulation","CustomLineSimulation","6","124631","2021/07/15 06:06:14","2021/11/26 12:24:54","False","False","False","41","888300"
"Personal","Process-Simulation","CustomMRSCls","5","2492","2021/07/15 07:31:49","2022/08/11 14:40:11","False","False","False","32","34650"
"Personal","Process-Simulation","CustomOperationCls","4","4828","2021/07/15 07:33:10","2022/09/26 15:08:30","False","False","False","34","68250"
"Personal","Process-Simulation","CustomRoboticCls","16","18227","2021/05/25 09:14:40","2024/01/26 08:13:12","False","False","False","45","277875"
"Personal","Process-Simulation","CustomWeldCls","9","2815","2021/05/05 09:11:24","2022/03/10 08:38:01","False","False","False","32","38775"
"Personal","Process-Simulation","CustomYaskawa","2","1287","2021/07/15 07:41:03","2021/07/15 07:41:06","False","False","False","28","17475"
"Personal","Process-Simulation","DB_Backup","3","918","2021/07/23 12:19:21","2021/11/05 08:00:55","False","False","False","26","11925"
"Personal","Process-Simulation","DB_Backup_Azure","3","858","2021/07/23 12:19:21","2022/01/12 07:59:52","False","False","False","29","11550"
"Personal","Process-Simulation","DesignGroup.ProcessSimulate.Plugins","15","0","2023/06/05 12:14:43","2023/08/31 15:43:58","False","False","False","10","0"
"Personal","Process-Simulation","DxLib","4","586","2021/07/15 07:43:15","2022/09/27 08:33:04","False","False","False","28","8100"
"Personal","Process-Simulation","ExampleLicencedProduct","23","395","2022/10/13 14:53:02","2022/11/21 10:20:46","False","False","False","24","5175"
"Personal","Process-Simulation","External-Connection-Control-Logix-PLC","160","3135",,"2022/08/05 06:27:39","False","False","False","33","44025"
"Personal","Process-Simulation","FactoryTalkEcho","2","835","2022/08/16 14:48:58","2022/08/17 08:40:59","False","False","False","26","11250"
"Personal","Process-Simulation","FanucDcsDocumentation","12","3192","2021/09/15 10:49:50","2024/01/23 12:26:21","False","False","False","33","44700"
"Personal","Process-Simulation","FanucVaFileReader","3","155","2025/03/13 10:11:36","2025/03/13 10:13:01","False","False","True","31","2100"
"Personal","Process-Simulation","FordFanuc-PS-XML-s","159","56816",,"2024/08/15 10:41:16","False","False","False","48","882675"
"Personal","Process-Simulation","FordFanucVOSS-NextGen","3","30737","2021/05/07 10:24:30","2021/05/07 10:33:33","False","False","False","36","439125"
"Personal","Process-Simulation","FordKawasaki","2","17510","2021/09/07 08:09:20","2021/09/07 08:09:23","False","False","False","34","246225"
"Personal","Process-Simulation","ImageMaker","8","2718","2022/09/19 08:56:15","2022/09/27 11:02:03","False","False","False","30","36825"
"Personal","Process-Simulation","KillSessions","2","536","2021/10/14 06:54:03","2021/10/14 06:54:04","False","False","False","24","7125"
"Personal","Process-Simulation","LicenseDesignGroup","3","582","2022/02/24 14:16:22","2022/02/25 07:54:15","False","False","False","25","7875"
"Personal","Process-Simulation","NewRepo","1","0","2024/02/05 12:49:12","2024/02/05 12:49:12","False","False","False","8","0"
"Personal","Process-Simulation","OakvilleFanucTemplates","27","7948","2023/06/08 07:56:36","2023/09/28 13:57:06","False","True","True","51","126075"
"Personal","Process-Simulation","ParseCFtoXVR","6","347","2022/09/12 16:50:17","2022/09/13 09:27:33","True","False","False","38","5100"
"Personal","Process-Simulation","PsHotFixInstaller","2","105","2023/10/25 11:43:28","2023/10/25 11:43:29","False","False","False","20","1275"
"Personal","Process-Simulation","RaveRelicAddOLP","231","159606",,"2025/04/14 14:42:31","False","False","False","47","926100"
"Personal","Process-Simulation","RemovePluginXmlEntries","4","162","2023/05/25 11:51:55","2023/05/25 13:31:25","False","False","False","21","1875"
"Personal","Process-Simulation","RobotDownloadChecker","16","433","2023/08/29 11:33:26","2023/08/31 08:28:26","False","False","False","24","5850"
"Personal","Process-Simulation","RobotJointsViewer","25","852","2021/08/25 10:07:38","2023/06/02 13:15:38","False","False","False","38","12300"
"Personal","Process-Simulation","RobotOpViewer","24","2539","2021/05/13 08:17:37","2024/01/25 06:55:45","False","False","False","45","38850"
"Personal","Process-Simulation","SAS_Helper","18","1257","2022/08/31 15:12:16","2022/10/12 10:52:56","False","False","False","27","16650"
"Personal","Process-Simulation","SchemaRefresh","8","815","2021/09/10 08:18:30","2022/04/07 09:46:22","False","False","False","28","10725"
"Personal","Process-Simulation","Shapes3d","2","864","2024/02/29 13:41:21","2024/02/29 13:41:22","False","False","False","26","11250"
"Personal","Process-Simulation","SignalViewer","50","4684","2023/10/09 08:14:43","2023/11/29 14:47:33","False","False","False","31","64650"
"Personal","Process-Simulation","SimChecker","12","6659","2022/12/14 13:21:09","2024/02/15 11:20:21","False","False","False","38","96375"
"Personal","Process-Simulation","SimulationPlayerViewer","12","2941","2021/07/08 13:28:30","2023/09/21 15:40:18","False","False","False","33","41175"
"Personal","Process-Simulation","TMX_Launcher","2","5569","2021/10/08 11:02:58","2021/10/08 11:03:00","False","False","False","30","75750"
"Personal","Process-Simulation","TxLib","9","11759","2018/03/06 16:32:48","2022/10/06 16:53:58","False","False","False","38","170250"
"Personal","Process-Simulation","Tx_PlcFunction","2","451","2021/07/15 07:47:52","2021/07/15 07:47:54","False","False","False","24","5850"
"Personal","Process-Simulation","Tx_PlcFunction_BMW","2","1685","2021/07/15 07:46:53","2021/07/15 07:46:55","False","False","False","27","22650"
"Personal","Process-Simulation","Tx_PlcFunction_Ford","3","1649","2021/05/06 13:54:17","2021/07/15 07:45:15","False","False","False","27","21975"
"Personal","Process-Simulation","V801-Kawasaki-Templates","54","244","2025/02/25 07:41:07","2025/03/11 09:23:15","False","False","False","23","3225"
"Personal","Process-Simulation","VersioningTool","2","339","2024/01/25 15:16:59","2024/01/25 15:17:00","False","False","False","23","4500"
"Personal","Process-Simulation","Wix4Msi","9","628","2024/01/25 09:38:18","2024/02/02 09:19:58","False","False","False","25","8550"
"Personal","SiemensPlc","TestGit","22","408","2021/04/28 11:24:46","2021/04/28 16:30:06","False","False","False","24","5175"
"Personal","SiemensPlc","TestGit1","24","408","2021/04/28 11:24:46","2021/04/29 08:40:00","False","False","False","24","5175"
"Personal","SiemensPlc","WinCC","2","63","2024/11/04 10:19:28","2024/11/04 10:19:30","False","False","True","29","675"
"Work","DES-Group-Systems","bomDashboard","1","319","2024/08/08 16:17:17","2024/08/08 16:17:17","False","False","False","23","3900"
"Work","DES-Group-Systems","ERP","2","1086283","2024/07/09 15:01:26","2024/10/10 16:31:16","False","False","False","43","900900"
"Work","DES-Group-Systems","House-Atreides-Tournament-Manager","5","667","2025/04/04 06:56:20","2025/04/04 12:12:32","False","False","False","25","8550"
"Work","DES-Group-Systems","systems","0","0",,,"False","False","False","4","0"
"Work","Design-Int-Group-ERP","ERP-Addons","0","0",,,"False","False","False","4","0"
"Work","Design-Int-Group","AndreAlmeida","3","0","2023/07/21 07:06:08","2023/07/21 08:34:25","False","False","True","17","0"
"Work","Design-Int-Group","AngleConvert","3","4312","2024/01/24 10:17:55","2024/01/24 10:19:06","False","False","False","31","59175"
"Work","Design-Int-Group","CascadedPointCloudFit","26","265","2023/03/31 11:58:21","2023/04/11 15:55:12","False","False","True","34","3525"
"Work","Design-Int-Group","CatiaConsoleTestApp","7","1911","2022/04/01 13:53:20","2022/12/09 11:28:42","False","False","False","28","25500"
"Work","Design-Int-Group","CubicS","5","187","2023/07/03 08:16:24","2023/07/03 14:28:54","False","False","False","22","2550"
"Work","Design-Int-Group","DesignGroupActivationManagerUI","76","1674",,"2024/07/09 09:07:53","False","True","True","55","26850"
"Work","Design-Int-Group","DesignGroupLicencing","233","59433",,"2024/07/09 11:41:49","False","False","True","55","967575"
"Work","Design-Int-Group","DesignGroupToolbox","5","222","2022/04/13 09:23:04","2022/04/13 12:38:13","False","False","False","22","2550"
"Work","Design-Int-Group","EventLogger","3","285","2022/06/29 16:42:43","2022/06/29 16:53:39","False","False","False","23","3900"
"Work","Design-Int-Group","FanucTpChecker","62","5331","2023/08/07 13:12:22","2023/08/31 15:37:53","True","False","True","62","90975"
"Work","Design-Int-Group","FPExtractCatia","0","0",,,"False","False","False","4","0"
"Work","Design-Int-Group","Helix3dTest","5","1301",,"2022/03/31 10:22:57","False","False","False","27","17325"
"Work","Design-Int-Group","HubStaffProjectInfo","2","282","2023/10/04 10:14:29","2023/10/04 10:14:30","False","False","False","23","3900"
"Work","Design-Int-Group","IKSolver","7","491","2024/02/14 15:59:17","2024/02/15 12:23:50","False","False","False","24","6525"
"Work","Design-Int-Group","InternalNugetPackages","4","0","2022/10/19 11:21:02","2022/10/19 11:47:03","False","False","True","17","0"
"Work","Design-Int-Group","InverseKinematicsToolbox","10","636","2022/05/04 09:19:21","2022/05/04 14:44:41","False","False","False","25","8550"
"Work","Design-Int-Group","KawaSpot","59","4042819",,"2023/07/07 10:14:14","False","False","False","45","913500"
"Work","Design-Int-Group","Kuka-BaseFrame","46","3316","2022/10/12 07:19:24","2022/11/01 08:48:30","False","False","False","30","45075"
"Work","Design-Int-Group","LicencedProductExample","4","918","2022/10/06 12:03:52","2022/10/06 15:13:13","False","False","False","26","11925"
"Work","Design-Int-Group","LicenceIssuerApi","19","978","2023/07/05 08:44:32","2024/07/10 11:23:39","False","False","True","39","14625"
"Work","Design-Int-Group","ModelAnalyzer3D","116","452605",,"2024/11/04 12:22:26","False","False","True","53","963900"
"Work","Design-Int-Group","PointCloudCalibration","32","2907","2022/03/04 13:42:51","2024/05/31 12:37:43","False","False","False","36","41400"
"Work","Design-Int-Group","PrecisionAlign","0","0",,,"False","False","False","4","0"
"Work","Design-Int-Group","PrecisionAlignment","7","795","2023/11/30 08:52:43","2023/11/30 13:23:27","False","False","False","25","10500"
"Work","Design-Int-Group","PrecisionAlignmentOLD","0","0",,,"False","False","False","4","0"
"Work","Design-Int-Group","ProgrammingStandards","8","0","2023/04/04 14:20:41","2023/08/15 11:21:36","False","False","True","17","0"
"Work","Design-Int-Group","ReleaseDesignGroupSoftware","3","64","2022/11/15 10:42:33","2022/11/21 15:03:49","False","False","False","20","600"
"Work","Design-Int-Group","ResearchPLM","2","0","2023/07/13 11:38:32","2023/07/13 12:02:56","False","False","False","8","0"
"Work","Design-Int-Group","RobotCodeSniffer","59","4608","2023/07/03 10:13:35","2023/07/19 10:42:49","True","False","True","56","75375"
"Work","Design-Int-Group","SoftwareReleaseExample","2","98","2023/04/14 10:03:10","2023/04/14 10:03:12","False","False","False","20","1275"
"Work","Design-Int-Group","TestLocalLLM","7","100","2023/07/20 16:14:33","2023/07/31 11:11:57","True","False","True","45","1500"
"Work","Design-Int-Group","tree-sitter-FanucTP","115","33617",,"2023/08/25 10:58:47","True","True","True","73","610350"
"Work","Design-Int-Group","UpdateManager","118","903",,"2023/08/02 09:52:09","False","True","True","46","13800"
"Work","Design-Int-Group","WebGLKinematics","1280","35399",,"2024/11/28 08:27:10","False","False","True","47","546375"
"Work","houseplantstore","theplantstore","149","54576",,"2025/08/10 14:37:22","True","True","True","74","997575"
