"AccountType","Owner","Repo","Score","MaxScore","Grade","HasReadme","HasTests","HasCI","HasDocs","DaysSinceLastCommit","RecommendationCount","Recommendations","Strengths"
"Personal","Allen-Bradley","AddonDes002","20","100","Poor","False","False","False","False","548","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 1.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","ControlLogixTree","10","100","Poor","False","False","False","False","1279","7","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.5 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file"
"Personal","Allen-Bradley","DraftSightUtil","15","100","Poor","False","False","False","False","923","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","EchoNet","25","100","Poor","False","True","False","False","815","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.2 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","EchoNetPortsClient","40","100","Needs Work","True","False","False","False","913","5","Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating","Excellent README documentation; Maintains changelog; Has license file"
"Personal","Allen-Bradley","EchoNetPortService","15","100","Poor","False","False","False","False","913","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","EchoPortClient","25","100","Poor","False","True","False","False","999","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.7 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","libplctag.NET","20","100","Poor","False","True","False","False","1279","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.5 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","LibplctagClient","20","100","Poor","False","True","False","False","970","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.7 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file; Has test suite"
"Personal","Allen-Bradley","LogixCodeGenerator","15","100","Poor","False","False","False","False","1020","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.8 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","MonoRailLogicBlock","15","100","Poor","False","False","False","False","1307","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Allen-Bradley","PortProxyBridge","10","100","Poor","False","False","False","False","915","7","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file"
"Personal","Allen-Bradley","RSLogix5000Lib","15","100","Poor","False","False","False","False","1662","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","AutoFactoryScope","95","100","Excellent","True","True","True","True","74","0","","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months)"
"Personal","DesignEngineeringTool","CadFileConverter","20","100","Poor","False","True","False","False","1097","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file; Has test suite"
"Personal","DesignEngineeringTool","CatiaDrawingExporter","15","100","Poor","False","False","False","False","1159","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.2 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","DataTransferRequestManufacture","15","100","Poor","False","False","False","False","1105","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","DesignGroupAccelerator","10","100","Poor","False","False","False","False","921","7","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.5 years - consider archiving or updating; Clean up TODO/FIXME comments","Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","DraftSightTestData","25","100","Poor","False","True","False","False","578","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 1.6 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","DesignEngineeringTool","FmStueliBackdoor","45","100","Needs Work","True","False","False","False","1094","5","Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3 years - consider archiving or updating","Excellent README documentation; Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","HubstaffTaskManager","25","100","Poor","False","True","False","False","573","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 1.6 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","DesignEngineeringTool","ImportCatiaData","15","100","Poor","False","False","False","False","1098","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","LabelMaker","15","100","Poor","False","False","False","False","499","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 1.4 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","DesignEngineeringTool","NxAutomatedDrafting","25","100","Poor","False","True","False","False","1053","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.9 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","DesignEngineeringTool","NxJournals","25","100","Poor","False","True","False","False","1013","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.8 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","DesignEngineeringTool","PipeWeaver","60","100","Good","True","True","False","False","422","3","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Repository inactive for 1.2 years - consider archiving or updating","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management"
"Personal","GeorgeMcIntyre-Web","AssetLens","75","100","Good","True","True","True","False","49","2","Add docs/ folder with technical documentation; Add dependency management file (package.json, etc.)","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","aurora_invest_app","100","100","Excellent","True","True","True","True","51","0","","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","CascadedPointCloudFit","90","100","Excellent","True","True","True","True","64","1","Clean up TODO/FIXME comments","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","ClerkAuth","80","100","Excellent","True","True","False","False","152","2","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","fire-protection","95","100","Excellent","True","True","True","True","78","0","","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","fittingflow","75","100","Good","True","True","False","False","41","2","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","IronMind","90","100","Excellent","True","True","True","False","11","1","Add docs/ folder with technical documentation","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","kinetiCORE","95","100","Excellent","True","True","True","True","61","1","Clean up TODO/FIXME comments","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","MedAtlas","90","100","Excellent","True","True","False","True","16","1","Set up GitHub Actions or CI/CD","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","myportfolio","35","100","Poor","True","False","False","False","64","7","README is too short (< 100 chars); No installation/setup instructions; No usage examples or code blocks; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Maintains changelog; Has license file; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","NitroAGI","90","100","Excellent","True","True","False","True","159","1","Set up GitHub Actions or CI/CD","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","out-of-this-world","90","100","Excellent","True","True","True","True","22","1","Add dependency management file (package.json, etc.)","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","outofthisworld","55","100","Needs Work","True","False","False","False","41","4","Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Excellent README documentation; Maintains changelog; Has license file; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","portfolio","60","100","Good","True","False","False","False","137","3","Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD","Excellent README documentation; Maintains changelog; Has license file; Proper dependency management; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","rugby-vision","85","100","Excellent","True","True","True","True","60","2","Add dependency management file (package.json, etc.); Clean up TODO/FIXME comments","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","SimPilot","100","100","Excellent","True","True","True","True","2","0","","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Proper dependency management; Recently active (< 6 months); Production-ready configuration"
"Personal","GeorgeMcIntyre-Web","SimTreeNav","90","100","Excellent","True","True","True","True","3","1","Add dependency management file (package.json, etc.)","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","SimuPro-Industrial-Suite","75","100","Good","True","True","False","True","62","1","Set up GitHub Actions or CI/CD","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","TensorField-Studio","70","100","Good","True","True","False","False","68","2","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre-Web","urbane-jungle","70","100","Good","True","True","False","False","70","3","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Clean up TODO/FIXME comments","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Proper dependency management; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre","BabylonHavok","35","100","Poor","False","True","False","False","509","4","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Repository inactive for 1.4 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite; Proper dependency management"
"Personal","GeorgeMcIntyre","desktop-tutorial","45","100","Needs Work","True","False","False","False","270","4","Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Excellent README documentation; Maintains changelog; Has license file"
"Personal","GeorgeMcIntyre","GeorgeMcIntyre","15","100","Poor","False","False","False","False","9999","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 27.4 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","GeorgeMcIntyre","House-Atreides-Tournament-Manager-Phone","25","100","Poor","False","False","False","False","262","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Maintains changelog; Has license file; Production-ready configuration"
"Personal","GeorgeMcIntyre","NexaSequence","15","100","Poor","False","False","False","False","856","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.3 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","GeorgeMcIntyre","repo-vault","65","100","Good","True","True","False","False","0","3","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Excellent README documentation; Maintains changelog; Has license file; Has test suite; Recently active (< 6 months)"
"Personal","GeorgeMcIntyre","SageOnePaymentReminder","20","100","Poor","False","False","False","False","300","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Maintains changelog; Has license file"
"Personal","Process-Simulation",".github","35","100","Poor","True","False","False","False","836","7","README is too short (< 100 chars); No installation/setup instructions; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.3 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","ABB-Downloader","15","100","Poor","False","False","False","False","1662","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","AutoFactoryScope","85","100","Excellent","True","True","True","True","12","2","Add dependency management file (package.json, etc.); Clean up TODO/FIXME comments","Excellent README documentation; Has additional documentation; Maintains changelog; Has license file; Has test suite; Has CI/CD pipeline; Recently active (< 6 months)"
"Personal","Process-Simulation","BMWButtons","25","100","Poor","False","True","False","False","1210","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.3 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","ControlLogixCreator","25","100","Poor","False","True","False","False","1224","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.4 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CoreCubicS","55","100","Needs Work","True","True","False","False","228","3","Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.)","Excellent README documentation; Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CreateRoboticXml","15","100","Poor","False","False","False","False","1594","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.4 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomABB","15","100","Poor","False","False","False","False","1662","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomFanuc","25","100","Poor","False","True","False","False","1213","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.3 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomFanucExtra","15","100","Poor","False","False","False","False","1535","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.2 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomFord","15","100","Poor","False","False","False","False","1662","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomGeneralCls","25","100","Poor","False","True","False","False","737","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomGraphicViewerCls","25","100","Poor","False","True","False","False","1662","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomKawasaki","25","100","Poor","False","True","False","False","1019","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.8 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomKawasakiCalibrate","15","100","Poor","False","False","False","False","1662","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomKawasaki_2020","25","100","Poor","False","True","False","False","976","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.7 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomLineSimulation","25","100","Poor","False","True","False","False","1528","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.2 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomMRSCls","15","100","Poor","False","False","False","False","1269","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.5 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomOperationCls","15","100","Poor","False","False","False","False","1223","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.4 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomRoboticCls","25","100","Poor","False","True","False","False","737","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
"Personal","Process-Simulation","CustomWeldCls","15","100","Poor","False","False","False","False","1424","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.9 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","CustomYaskawa","15","100","Poor","False","False","False","False","1662","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.6 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","DB_Backup","15","100","Poor","False","False","False","False","1549","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.2 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","DB_Backup_Azure","15","100","Poor","False","False","False","False","1481","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 4.1 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","DesignGroup.ProcessSimulate.Plugins","15","100","Poor","False","False","False","False","884","6","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Add unit tests (high priority); Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 2.4 years - consider archiving or updating","Maintains changelog; Has license file"
"Personal","Process-Simulation","DxLib","25","100","Poor","False","True","False","False","1223","5","Add comprehensive README with description, installation, and usage; Add docs/ folder with technical documentation; Set up GitHub Actions or CI/CD; Add dependency management file (package.json, etc.); Repository inactive for 3.4 years - consider archiving or updating","Maintains changelog; Has license file; Has test suite"
